name,asdiv,gsm8k,mathqa,mawps,minerva_math,mmlu_stem,sat_math,svamp,tabmwp,average
0.5B,25.8,3.2,12.9,33.2,3.4,16.2,18.8,17.3,15.2,16.22222222222222
1B,26.6,3.9,11.5,34.5,4.2,15.5,18.8,17.3,14.5,16.311111111111114
